poNumber,date,quantity,amount,location,status
PO14000000001001CM,8/20/2010,,4264.8,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001003CM,09/01/2010,,48304.8,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001002CM,8/26/2010,,25,CM00Z001 Jade e Services (MTA),Closed
PO14000000001005CM,06/12/2012,,24327.35,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001006CM,06/12/2012,,24327.35,Dapur Solo - Panglima,Pending Bill
PO14000000001007CM,06/12/2012,,280.5,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001008CM,06/12/2012,,280.5,Dapur Solo - Panglima,Pending Bill
PO14000000001009CM,06/12/2012,,280.5,Dapur Solo - Panglima,Pending Bill
PO14000000001011CM,06/12/2012,,365989.75,,Pending Bill
PO14000000001012CM,6/13/2012,,1939534.4,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001013CM,6/13/2012,,4703,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001014CM,6/13/2012,,4703,Dapur Solo - Panglima,Pending Bill
PO14000000001015CM,6/15/2012,,6770,,Fully Billed
PO14000000001016CM,6/15/2012,,2425,,Fully Billed
PO14000000001017CM,6/15/2012,,4105,,Pending Bill
PO14000000001018CM,6/15/2012,,4400,,Fully Billed
PO14000000001019CM,6/15/2012,,1080,,Pending Bill
PO14000000001020CM,6/15/2012,,3300,,Pending Bill
PO14000000001021CM,6/20/2012,,602,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001022CM,6/20/2012,,1639.88,,Pending Bill
PO14000000001023CM,6/20/2012,,1367,,Pending Receipt
PO14000000001024CM,6/20/2012,,1610,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001025CM,6/20/2012,,1700,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001026CM,6/20/2012,,1990,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001027CM,6/20/2012,,1990,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001028CM,6/20/2012,,1200,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001029CM,6/21/2012,,110468.75,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001030CM,6/21/2012,,100100,,Pending Bill
PO14000000001031CM,6/21/2012,,84915,Dapur Solo - Panglima,Pending Receipt
PO14000000001032CM,6/21/2012,,68311.25,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001033CM,07/01/2012,,2750,,Pending Receipt
PO14000000001034CM,07/03/2012,,18772.5,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001035CM,07/03/2012,,18772.5,Dapur Solo - Panglima,Fully Billed
PO14000000001036CM,07/03/2012,,26019.25,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001037CM,07/03/2012,,26019.25,Dapur Solo - Panglima,Fully Billed
PO14000000001038CM,07/03/2012,,9250,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001039CM,07/03/2012,,9250,Dapur Solo - Panglima,Fully Billed
PO14000000001040CM,07/03/2012,,3749,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001041CM,07/03/2012,,3749,Dapur Solo - Panglima,Fully Billed
PO14000000001042CM,07/03/2012,,1950,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001043CM,07/03/2012,,1950,Dapur Solo - Panglima,Fully Billed
PO14000000001044CM,07/03/2012,,8391.75,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001045CM,07/03/2012,,10640.8,Dapur Solo - Panglima,Fully Billed
PO14000000001046CM,07/03/2012,,3750,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001047CM,07/03/2012,,4500,Dapur Solo - Panglima,Fully Billed
PO14000000001048CM,07/03/2012,,4146.4,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001049CM,07/03/2012,,4559.73,Dapur Solo - Panglima,Fully Billed
PO14000000001050CM,07/03/2012,,3375,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001051CM,07/03/2012,,4275,Dapur Solo - Panglima,Fully Billed
